"obs_beta","true_beta","sim","ts_length","method"
1.4766126495818,1.594,5,1825,"Eke"
1.51294875901879,1.594,5,1825,"AWC"
1.41536097192292,1.594,6,1825,"original"
1.36905168031617,1.594,6,1825,"Eke"
1.46089359282142,1.594,6,1825,"AWC"
1.43261706922022,1.594,7,1825,"original"
1.44019150251465,1.594,7,1825,"Eke"
1.45809546264023,1.594,7,1825,"AWC"
1.44077458128052,1.594,8,1825,"original"
1.49771889197729,1.594,8,1825,"Eke"
1.46181114848404,1.594,8,1825,"AWC"
1.54588345297975,1.594,9,1825,"original"
1.55676882643877,1.594,9,1825,"Eke"
1.45640147514486,1.594,9,1825,"AWC"
1.44732654402044,1.594,10,1825,"original"
1.2544598468295,1.594,10,1825,"Eke"
1.38046478168683,1.594,10,1825,"AWC"
1.44219670517481,1.594,1,3650,"original"
1.74300965327449,1.594,1,3650,"Eke"
1.59678915484514,1.594,1,3650,"AWC"
1.51890355502151,1.594,2,3650,"original"
1.5046469164379,1.594,2,3650,"Eke"
1.55570312058039,1.594,2,3650,"AWC"
1.46299161009661,1.594,3,3650,"original"
1.48686729663297,1.594,3,3650,"Eke"
1.51761379819718,1.594,3,3650,"AWC"
1.45613539637348,1.594,4,3650,"original"
1.65105904906506,1.594,4,3650,"Eke"
1.56134308997726,1.594,4,3650,"AWC"
1.44250618809397,1.594,5,3650,"original"
1.69970358544447,1.594,5,3650,"Eke"
1.5531096369491,1.594,5,3650,"AWC"
1.43348668569361,1.594,6,3650,"original"
1.55942870134521,1.594,6,3650,"Eke"
1.55971490208544,1.594,6,3650,"AWC"
1.48783058579277,1.594,7,3650,"original"
1.55691599482923,1.594,7,3650,"Eke"
1.5009580031472,1.594,7,3650,"AWC"
1.42274461854407,1.594,8,3650,"original"
1.67195065274376,1.594,8,3650,"Eke"
1.57519852951993,1.594,8,3650,"AWC"
1.47801670905929,1.594,9,3650,"original"
1.57985971982471,1.594,9,3650,"Eke"
1.45480128134902,1.594,9,3650,"AWC"
1.44942023130575,1.594,10,3650,"original"
1.67250034101369,1.594,10,3650,"Eke"
1.49703808390013,1.594,10,3650,"AWC"
0.908657704340717,1.05,1,1825,"original"
0.947331919234763,1.05,1,1825,"Eke"
0.992921486764697,1.05,1,1825,"AWC"
0.903162076378902,1.05,2,1825,"original"
0.845877362377947,1.05,2,1825,"Eke"
0.903206020789552,1.05,2,1825,"AWC"
0.88129466140077,1.05,3,1825,"original"
0.832499107065404,1.05,3,1825,"Eke"
0.932251246175434,1.05,3,1825,"AWC"
1.02960232060266,1.05,4,1825,"original"
1.08377713439385,1.05,4,1825,"Eke"
0.992146044043216,1.05,4,1825,"AWC"
0.949668675776619,1.05,5,1825,"original"
1.08471253645508,1.05,5,1825,"Eke"
1.05322232436139,1.05,5,1825,"AWC"
0.943750932990656,1.05,6,1825,"original"
0.934358319253498,1.05,6,1825,"Eke"
0.983896656620171,1.05,6,1825,"AWC"
0.956703508644155,1.05,7,1825,"original"
0.82588952395156,1.05,7,1825,"Eke"
0.991395657132153,1.05,7,1825,"AWC"
0.909291198822935,1.05,8,1825,"original"
0.971683514472842,1.05,8,1825,"Eke"
0.923222645356398,1.05,8,1825,"AWC"
0.968570960661254,1.05,9,1825,"original"
1.10093055138133,1.05,9,1825,"Eke"
0.994468153975376,1.05,9,1825,"AWC"
0.908824870734614,1.05,10,1825,"original"
1.10381639767928,1.05,10,1825,"Eke"
0.930481340016624,1.05,10,1825,"AWC"
0.962392723329388,1.05,1,3650,"original"
1.10038669388749,1.05,1,3650,"Eke"
0.942776811324315,1.05,1,3650,"AWC"
0.972357918613002,1.05,2,3650,"original"
1.06046680260669,1.05,2,3650,"Eke"
0.997574468747291,1.05,2,3650,"AWC"
0.925608411700252,1.05,3,3650,"original"
1.1216612858279,1.05,3,3650,"Eke"
1.0364964999508,1.05,3,3650,"AWC"
0.948064520386473,1.05,4,3650,"original"
1.10290514160783,1.05,4,3650,"Eke"
0.995860012553572,1.05,4,3650,"AWC"
0.936209823463135,1.05,5,3650,"original"
0.9735891387799,1.05,5,3650,"Eke"
0.951631156005798,1.05,5,3650,"AWC"
0.897362374001326,1.05,6,3650,"original"
1.01087943334514,1.05,6,3650,"Eke"
0.929124306182718,1.05,6,3650,"AWC"
0.927676389946465,1.05,7,3650,"original"
0.999075960937119,1.05,7,3650,"Eke"
0.936208953770918,1.05,7,3650,"AWC"
0.945331895033601,1.05,8,3650,"original"
1.12210731814608,1.05,8,3650,"Eke"
0.984891546641649,1.05,8,3650,"AWC"
1.02143296562071,1.05,9,3650,"original"
1.05618636850076,1.05,9,3650,"Eke"
1.11446944441841,1.05,9,3650,"AWC"
0.970058949745419,1.05,10,3650,"original"
1.06638875375572,1.05,10,3650,"Eke"
1.05724526733096,1.05,10,3650,"AWC"
0.113468762615207,0.128,1,1825,"original"
-0.0737595911699166,0.128,1,1825,"Eke"
0.147877407386391,0.128,1,1825,"AWC"
0.217214071986414,0.128,2,1825,"original"
0.400275172674792,0.128,2,1825,"Eke"
0.158851072430015,0.128,2,1825,"AWC"
0.142568326783262,0.128,3,1825,"original"
0.178538143527472,0.128,3,1825,"Eke"
0.117408902221707,0.128,3,1825,"AWC"
0.111921171547331,0.128,4,1825,"original"
0.194815035322997,0.128,4,1825,"Eke"
0.066151494403602,0.128,4,1825,"AWC"
0.187711138699395,0.128,5,1825,"original"
-0.0286179162877448,0.128,5,1825,"Eke"
0.0600622468133832,0.128,5,1825,"AWC"
0.0364750103577769,0.128,6,1825,"original"
0.514373030960431,0.128,6,1825,"Eke"
0.0577323554565337,0.128,6,1825,"AWC"
0.154388592901906,0.128,7,1825,"original"
0.316475641993148,0.128,7,1825,"Eke"
0.162794655870888,0.128,7,1825,"AWC"
0.0349201093432773,0.128,8,1825,"original"
0.0261111307406039,0.128,8,1825,"Eke"
-0.0204185410818507,0.128,8,1825,"AWC"
0.188405519144703,0.128,9,1825,"original"
0.13677294441751,0.128,9,1825,"Eke"
0.136980176698103,0.128,9,1825,"AWC"
0.134007320809405,0.128,10,1825,"original"
0.144838388324585,0.128,10,1825,"Eke"
0.00582503839449455,0.128,10,1825,"AWC"
0.0706133380768662,0.128,1,3650,"original"
-0.038281870497224,0.128,1,3650,"Eke"
0.016144170142668,0.128,1,3650,"AWC"
0.0820790393215135,0.128,2,3650,"original"
0.226166761418653,0.128,2,3650,"Eke"
0.0976820424844945,0.128,2,3650,"AWC"
0.181603598344755,0.128,3,3650,"original"
-0.0711424325292383,0.128,3,3650,"Eke"
0.0698140249785912,0.128,3,3650,"AWC"
0.155100047560623,0.128,4,3650,"original"
0.247724604346627,0.128,4,3650,"Eke"
0.117380140141418,0.128,4,3650,"AWC"
0.166012685106828,0.128,5,3650,"original"
0.0480608047243225,0.128,5,3650,"Eke"
0.0405463549474635,0.128,5,3650,"AWC"
0.104861926186789,0.128,6,3650,"original"
0.124663837900759,0.128,6,3650,"Eke"
0.140018998241102,0.128,6,3650,"AWC"
0.126239039834255,0.128,7,3650,"original"
0.25649217134426,0.128,7,3650,"Eke"
0.183823553967453,0.128,7,3650,"AWC"
0.14315337114661,0.128,8,3650,"original"
0.116813872988486,0.128,8,3650,"Eke"
0.145543272320554,0.128,8,3650,"AWC"
0.0668222001958969,0.128,9,3650,"original"
0.121315074136216,0.128,9,3650,"Eke"
0.0494050046842484,0.128,9,3650,"AWC"
0.129866594317501,0.128,10,3650,"original"
0.0557061029797661,0.128,10,3650,"Eke"
0.0761511625841811,0.128,10,3650,"AWC"
1.28796664481081,1.354,1,1825,"original"
1.51054938143385,1.354,1,1825,"Eke"
1.31950424716919,1.354,1,1825,"AWC"
1.32017101642798,1.354,2,1825,"original"
1.59592490625663,1.354,2,1825,"Eke"
1.45423163157595,1.354,2,1825,"AWC"
1.16718334688429,1.354,3,1825,"original"
1.01264392274973,1.354,3,1825,"Eke"
1.25289916086886,1.354,3,1825,"AWC"
1.30254591824066,1.354,4,1825,"original"
1.21266768474636,1.354,4,1825,"Eke"
1.29164807728098,1.354,4,1825,"AWC"
1.23104911421767,1.354,5,1825,"original"
1.37874307791761,1.354,5,1825,"Eke"
1.33821878182954,1.354,5,1825,"AWC"
1.24457023096058,1.354,6,1825,"original"
1.43598364051396,1.354,6,1825,"Eke"
1.33086915615824,1.354,6,1825,"AWC"
1.32436290858376,1.354,7,1825,"original"
1.43484478223807,1.354,7,1825,"Eke"
1.40565096933051,1.354,7,1825,"AWC"
1.18089446863768,1.354,8,1825,"original"
1.06469732283095,1.354,8,1825,"Eke"
1.2552316359564,1.354,8,1825,"AWC"
1.22723820104777,1.354,9,1825,"original"
1.3905362092432,1.354,9,1825,"Eke"
1.33100202954051,1.354,9,1825,"AWC"
1.24728694332739,1.354,10,1825,"original"
1.32070079655712,1.354,10,1825,"Eke"
1.291429411028,1.354,10,1825,"AWC"
1.21842370558408,1.354,1,3650,"original"
1.3366522131104,1.354,1,3650,"Eke"
1.22568301334402,1.354,1,3650,"AWC"
1.19084859373022,1.354,2,3650,"original"
1.33719217816809,1.354,2,3650,"Eke"
1.3360996302915,1.354,2,3650,"AWC"
1.29704843744968,1.354,3,3650,"original"
1.38555194379758,1.354,3,3650,"Eke"
1.32734635414022,1.354,3,3650,"AWC"
1.23808029946546,1.354,4,3650,"original"
1.54002258360294,1.354,4,3650,"Eke"
1.33983954498993,1.354,4,3650,"AWC"
1.28975308197084,1.354,5,3650,"original"
1.28719994614153,1.354,5,3650,"Eke"
1.22099824414897,1.354,5,3650,"AWC"
1.24777560332097,1.354,6,3650,"original"
1.32279758933551,1.354,6,3650,"Eke"
1.29208742651216,1.354,6,3650,"AWC"
1.18359247980544,1.354,7,3650,"original"
1.50067244606928,1.354,7,3650,"Eke"
1.33551712447431,1.354,7,3650,"AWC"
1.209167438719,1.354,8,3650,"original"
1.4197155272643,1.354,8,3650,"Eke"
1.32156129731599,1.354,8,3650,"AWC"
1.19801096514233,1.354,9,3650,"original"
1.35527556145058,1.354,9,3650,"Eke"
1.24650261780221,1.354,9,3650,"AWC"
1.21651521073088,1.354,10,3650,"original"
1.38108049325728,1.354,10,3650,"Eke"
1.32501991485961,1.354,10,3650,"AWC"
0.945628001295706,1.063,1,1825,"original"
1.16847798148472,1.063,1,1825,"Eke"
1.03674550100474,1.063,1,1825,"AWC"
0.961702003753109,1.063,2,1825,"original"
1.22725285497748,1.063,2,1825,"Eke"
1.07669150546932,1.063,2,1825,"AWC"
1.01447635071482,1.063,3,1825,"original"
1.1094527144252,1.063,3,1825,"Eke"
1.00500968393823,1.063,3,1825,"AWC"
0.905888000080691,1.063,4,1825,"original"
1.18300039117459,1.063,4,1825,"Eke"
1.03791254444674,1.063,4,1825,"AWC"
0.968434088373467,1.063,5,1825,"original"
1.01217007799117,1.063,5,1825,"Eke"
1.09579005425828,1.063,5,1825,"AWC"
0.960567685110763,1.063,6,1825,"original"
0.944360557192827,1.063,6,1825,"Eke"
1.09873505408095,1.063,6,1825,"AWC"
0.884947062306534,1.063,7,1825,"original"
0.968421457724145,1.063,7,1825,"Eke"
0.993725973850702,1.063,7,1825,"AWC"
0.952045622644938,1.063,8,1825,"original"
0.764852587406116,1.063,8,1825,"Eke"
0.905504455642406,1.063,8,1825,"AWC"
0.970014681494059,1.063,9,1825,"original"
1.39288325427721,1.063,9,1825,"Eke"
1.09287729815618,1.063,9,1825,"AWC"
0.961658061004119,1.063,10,1825,"original"
1.21540755756793,1.063,10,1825,"Eke"
1.06224748437054,1.063,10,1825,"AWC"
1.02008878711736,1.063,1,3650,"original"
1.12600894192279,1.063,1,3650,"Eke"
1.01683841074558,1.063,1,3650,"AWC"
0.974852992102053,1.063,2,3650,"original"
