"time_window_width","Time series type","time_series_type","ts_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","simulation_num"
"8 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",3.54722017624363e-09,4.45391453718588e-07,0.00796427535065563,0.993677832341874,-8.91500416045625e-07,8.98594856398112e-07,3
"9 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-2.19084363704189e-07,3.32458966546641e-07,-0.658981666158352,0.513421149911851,-8.89551768102145e-07,4.51383040693766e-07,3
"9 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",-1.97721825291178e-08,3.16233465058782e-07,-0.0625240042999325,0.950435280940506,-6.57517744647948e-07,6.17973379589713e-07,3
"9 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-6.59272996630611e-07,2.77268369385272e-07,-2.37774326040967,0.021935480156823,-1.21843795426251e-06,-1.00108038998714e-07,3
"9 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",4.469687008886e-07,5.66110403201062e-07,0.789543344127264,0.434126780118988,-6.947017331487e-07,1.5886391349259e-06,3
"9 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",7.53619315605734e-07,5.68752276091973e-07,1.32503964781297,0.192156273721269,-3.93378962882017e-07,1.90061759409349e-06,3
"9 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",1.24771989487378e-07,4.51808096513387e-07,0.276161473090558,0.78374704514081,-7.86385874299141e-07,1.0359298532739e-06,3
"10 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",1.12046728282384e-07,4.03656483853003e-07,0.277579409137367,0.782801421051477,-7.04425576421051e-07,9.28519032985818e-07,4
"10 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",-1.21597054539037e-07,3.57601953249919e-07,-0.340034648675578,0.73565508976663,-8.44915278365057e-07,6.01721169286984e-07,4
"10 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",1.74120351273864e-07,3.15359284771396e-07,0.552133264127878,0.584007520288494,-4.63754010582526e-07,8.11994713130254e-07,4
"10 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",6.19778306083863e-07,5.64223687520887e-07,1.09846204580151,0.278738153751961,-5.21471823534293e-07,1.76102843570202e-06,4
"10 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",8.80184297085618e-07,5.5329383292739e-07,1.5908080746693,0.119727278180299,-2.3895811488895e-07,1.99932670906019e-06,4
"10 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",4.9413454132411e-07,3.99236553084419e-07,1.2376986463452,0.223227670952535,-3.13397609546519e-07,1.30166669219474e-06,4
"5 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-3.71482724800808e-07,3.26975352701318e-07,-1.136118431349,0.259299002975473,-1.02218441386347e-06,2.79218964261856e-07,4
"5 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",-2.72702201921659e-07,3.22103213621796e-07,-0.846629870144229,0.399726971149138,-9.13708025218902e-07,3.68303621375583e-07,4
"5 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",3.08563486853035e-07,3.5380539643231e-07,0.872127700607499,0.385748700810772,-3.95531690829334e-07,1.0126586645354e-06,4
"5 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",9.38212776240773e-08,4.42901976729139e-07,0.211833052353827,0.832776036848452,-7.8758174546587e-07,9.75224300714024e-07,4
