"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
256,855,127040,142960,851.921143736377,1396.6,311.1
257,856,127135,142865,851.974247832738,1400.2,314.9
258,857,127289,142711,847.934413678704,1401.6,309.8
259,858,126923,143077,850.928124601047,1404.1,308.9
260,859,127226,142774,850.015763168012,1401.3,314.5
261,860,127235,142765,852.88462039328,1416.2,316.8
262,861,127167,142833,855.886325557417,1407,311.8
263,862,127201,142799,856.062353858145,1403.9,315.3
264,863,126958,143042,852.979038065844,1406,316.7
265,864,127142,142858,857.576404061175,1407.8,315.8
266,865,126957,143043,858.66107339567,1412.1,318.7
267,866,127401,142599,859.14755371473,1415,327
268,867,127064,142936,864.191651589558,1415.8,324
269,868,126924,143076,864.9528802589,1410.5,327.4
270,869,127185,142815,868.007066683798,1407.7,322.8
271,870,127714,142286,863.41264278297,1413.8,324
272,871,127433,142567,866.775073276411,1418.8,322.9
273,872,127133,142867,866.858865338241,1408.2,325
274,873,127387,142613,868.069675778767,1407.3,327.7
275,874,127407,142593,867.909761057448,1424.4,329.5
276,875,127192,142808,868.465751683823,1420.2,328.6
277,876,127188,142812,869.893175451999,1413.4,329.4
278,877,127141,142859,871.406348804856,1417.9,332.9
279,878,127535,142465,873.089337539432,1421.3,328.1
280,879,127238,142762,877.23418043202,1422.6,332.1
281,880,127292,142708,875.533282616965,1434.6,334
282,881,127087,142913,874.744951098692,1423.1,339.2
283,882,127114,142886,875.705144450076,1429.8,334.8
284,883,127217,142783,878.590293453725,1428.3,329
285,884,127337,142663,879.870533467539,1429.2,340.7
286,885,127282,142718,882.162289049613,1428.2,338.8
287,886,127075,142925,885.905942492013,1435.2,338.4
288,887,127429,142571,885.29325325837,1428.2,339.4
289,888,127182,142818,887.14558349452,1426.4,348.1
290,889,127198,142802,887.86089983241,1439.1,350.4
291,890,127164,142836,890.507300684843,1437.2,347.2
292,891,127218,142782,890.322931503302,1435.1,340.5
293,892,127021,142979,889.516245954693,1436.2,345.9
294,893,127258,142742,888.602278545827,1442.4,345.2
295,894,127361,142639,889.255787185062,1444.7,347.7
296,895,126981,143019,893.647674418605,1441.8,350.1
297,896,126974,143026,891.728580686973,1440.2,349.4
298,897,127134,142866,894.120290984671,1440.3,356.6
299,898,127258,142742,894.13093562012,1445.2,359.5
300,899,127341,142659,893.297050109494,1449.7,353.8
301,900,126929,143071,899.715489720342,1450.8,352.9
302,901,127395,142605,898.713435481829,1443.6,353.3
303,902,127267,142733,900.02376111817,1444.4,358.7
304,903,127484,142516,900.200868343762,1451.5,360.3
305,904,127089,142911,898.542398777693,1449.4,358.2
306,905,127321,142679,901.324053596982,1445.8,356.4
307,906,127407,142593,899.300208659364,1450.3,349.9
308,907,126855,143145,899.784154064883,1447.9,358
309,908,127077,142923,900.825022902761,1453.6,356.5
310,909,126863,143137,903.014907806983,1454.7,359.6
311,910,127002,142998,904.478153123777,1457.5,357.4
312,911,127049,142951,907.784841718114,1464.9,363
313,912,127075,142925,906.179071860136,1459.7,371.3
314,913,127208,142792,906.840847435732,1466.9,368.9
315,914,127198,142802,909.10556496807,1461.3,370.7
316,915,127213,142787,912.900469606053,1464.1,383
317,916,127324,142676,912.413865271419,1457.5,383.2
318,917,126857,143143,916.604829287291,1454.6,383.9
319,918,127589,142411,914.849078640021,1461.1,375.9
320,919,127287,142713,913.311639386854,1456.1,373.9
321,920,127073,142927,911.969653555613,1452.7,372.4
322,921,127307,142693,916.192196910186,1459.4,378.1
323,922,127223,142777,920.015912677538,1460.3,386.5
324,923,126903,143097,920.142575039494,1462.5,382
325,924,127170,142830,922.538129496403,1472.7,379.2
326,925,127236,142764,922.967223818229,1464.7,376.6
327,926,127217,142783,927.111838658984,1472.3,376.7
328,927,127241,142759,927.587997390737,1468.3,381.9
329,928,126921,143079,926.532814526589,1474.8,385.9
330,929,127313,142687,928.905025061046,1479.5,386
331,930,127082,142918,931.255453724022,1473,381
332,931,127066,142934,932.002067450575,1474,382.9
333,932,127182,142818,931.501032524522,1471.8,397.4
