"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
281,880,127037,142963,878.483396704689,1427.9,332.6
282,881,126850,143150,874.41641025641,1420.7,340.2
283,882,127208,142792,876.677291346646,1433.7,332.6
284,883,127233,142767,879.122029543995,1426.9,336.2
285,884,127187,142813,877.673375796178,1423.4,344
286,885,127243,142757,878.822556201061,1430.7,342.9
287,886,127686,142314,880.635123183828,1431.3,343.2
288,887,127357,142643,882.649449297379,1426.3,345.6
289,888,127569,142431,888.822304547777,1432.7,340.4
290,889,127015,142985,889.199173873758,1433,347.8
291,890,127037,142963,888.087519623234,1436.6,352.3
292,891,126819,143181,888.882330345711,1431.5,351.8
293,892,127237,142763,886.019073569482,1426.6,350.1
294,893,127236,142764,884.919033543246,1427.3,346.3
295,894,127326,142674,888.141383263279,1437.8,349.1
296,895,127203,142797,889.294351223261,1435.9,355.5
297,896,127293,142707,889.850197779763,1437.9,356
298,897,127319,142681,891.56987039651,1431.9,349.1
299,898,126978,143022,891.814962657739,1428.6,358.5
300,899,127097,142903,889.782188426344,1427.6,363.1
301,900,127446,142554,896.287180153267,1435.3,349.1
302,901,127064,142936,896.0970798183,1436.8,353.9
303,902,127208,142792,896.227599486521,1439.8,360.8
304,903,127468,142532,896.458247156153,1448.7,362
305,904,127360,142640,899.484650555193,1449.2,354
306,905,126799,143201,900.064692127825,1451.8,359.3
307,906,127217,142783,903.870837669095,1450.1,373.6
308,907,127050,142950,906.596568754874,1449.9,371.9
309,908,127053,142947,907.830469052849,1449.4,364.8
310,909,127224,142776,907.758243190408,1449,365.7
311,910,127163,142837,909.384505949302,1450.4,371.5
312,911,127190,142810,909.031358437219,1447.5,362.8
313,912,127027,142973,911.221835075494,1453.7,365.7
314,913,126856,143144,911.316006176016,1454.6,370.1
315,914,126906,143094,909.937308478039,1464.9,368
316,915,127293,142707,909.131340232528,1462.2,367.2
317,916,127500,142500,911.278766769866,1460.9,374.7
318,917,127355,142645,914.058931377685,1460.6,377.8
319,918,127545,142455,912.580548693278,1458.3,374.6
320,919,127301,142699,914.589462702139,1463.9,375.7
321,920,126502,143498,913.390959864917,1468.3,377.9
322,921,127417,142583,914.406919060052,1466.4,375.6
323,922,127288,142712,917.088311019567,1467.5,376.6
324,923,127237,142763,919.069471246623,1475.2,381.9
